2023-08-07 19:55:15,788 DEBUG epoch:36, knn_val_accu: 60.99, contrast_loss: 8.74, contrast_acc: 35.53
2023-08-07 19:56:29,921 DEBUG epoch:37, knn_val_accu: 62.70, contrast_loss: 8.73, contrast_acc: 35.71
2023-08-07 19:56:29,921 DEBUG epoch:37, knn_val_accu: 62.70, contrast_loss: 8.73, contrast_acc: 35.71
2023-08-07 19:56:31,535 DEBUG epoch:37, knn_val_accu: 62.70, contrast_loss: 8.73, contrast_acc: 35.71
2023-08-07 19:57:46,777 DEBUG epoch:38, knn_val_accu: 62.39, contrast_loss: 8.73, contrast_acc: 35.98
2023-08-07 19:57:47,244 DEBUG epoch:38, knn_val_accu: 62.39, contrast_loss: 8.73, contrast_acc: 35.98
2023-08-07 19:57:48,613 DEBUG epoch:38, knn_val_accu: 62.39, contrast_loss: 8.73, contrast_acc: 35.98
2023-08-07 19:59:03,668 DEBUG epoch:39, knn_val_accu: 62.03, contrast_loss: 8.73, contrast_acc: 36.25
2023-08-07 19:59:03,895 DEBUG epoch:39, knn_val_accu: 62.03, contrast_loss: 8.73, contrast_acc: 36.25
2023-08-07 19:59:05,448 DEBUG epoch:39, knn_val_accu: 62.03, contrast_loss: 8.73, contrast_acc: 36.25
2023-08-07 20:00:19,477 DEBUG epoch:40, knn_val_accu: 62.16, contrast_loss: 8.74, contrast_acc: 34.73
2023-08-07 20:00:19,746 DEBUG epoch:40, knn_val_accu: 62.16, contrast_loss: 8.74, contrast_acc: 34.73
2023-08-07 20:00:21,501 DEBUG epoch:40, knn_val_accu: 62.16, contrast_loss: 8.74, contrast_acc: 34.73
2023-08-07 20:01:36,036 DEBUG epoch:41, knn_val_accu: 62.47, contrast_loss: 8.73, contrast_acc: 36.14
2023-08-07 20:01:36,091 DEBUG epoch:41, knn_val_accu: 62.47, contrast_loss: 8.73, contrast_acc: 36.14
2023-08-07 20:01:37,483 DEBUG epoch:41, knn_val_accu: 62.47, contrast_loss: 8.73, contrast_acc: 36.14
2023-08-07 20:02:52,566 DEBUG epoch:42, knn_val_accu: 62.96, contrast_loss: 8.73, contrast_acc: 35.35
2023-08-07 20:02:52,588 DEBUG epoch:42, knn_val_accu: 62.96, contrast_loss: 8.73, contrast_acc: 35.35
2023-08-07 20:02:54,041 DEBUG epoch:42, knn_val_accu: 62.96, contrast_loss: 8.73, contrast_acc: 35.35
2023-08-07 20:04:08,977 DEBUG epoch:43, knn_val_accu: 63.22, contrast_loss: 8.73, contrast_acc: 35.96
2023-08-07 20:04:09,286 DEBUG epoch:43, knn_val_accu: 63.22, contrast_loss: 8.73, contrast_acc: 35.96
2023-08-07 20:04:10,850 DEBUG epoch:43, knn_val_accu: 63.22, contrast_loss: 8.73, contrast_acc: 35.96
2023-08-07 20:05:27,996 DEBUG epoch:44, knn_val_accu: 63.55, contrast_loss: 8.73, contrast_acc: 36.81
2023-08-07 20:05:28,363 DEBUG epoch:44, knn_val_accu: 63.55, contrast_loss: 8.73, contrast_acc: 36.81
2023-08-07 20:05:29,748 DEBUG epoch:44, knn_val_accu: 63.55, contrast_loss: 8.73, contrast_acc: 36.81
2023-08-07 20:06:45,075 DEBUG epoch:45, knn_val_accu: 63.64, contrast_loss: 8.73, contrast_acc: 36.12
2023-08-07 20:06:45,626 DEBUG epoch:45, knn_val_accu: 63.64, contrast_loss: 8.73, contrast_acc: 36.12
2023-08-07 20:06:47,083 DEBUG epoch:45, knn_val_accu: 63.64, contrast_loss: 8.73, contrast_acc: 36.12
2023-08-07 20:08:01,584 DEBUG epoch:46, knn_val_accu: 63.23, contrast_loss: 8.72, contrast_acc: 36.36
2023-08-07 20:08:01,599 DEBUG epoch:46, knn_val_accu: 63.23, contrast_loss: 8.72, contrast_acc: 36.36
2023-08-07 20:08:03,232 DEBUG epoch:46, knn_val_accu: 63.23, contrast_loss: 8.72, contrast_acc: 36.36
2023-08-07 20:09:16,713 DEBUG epoch:47, knn_val_accu: 62.63, contrast_loss: 8.72, contrast_acc: 36.53
2023-08-07 20:09:16,726 DEBUG epoch:47, knn_val_accu: 62.63, contrast_loss: 8.72, contrast_acc: 36.53
2023-08-07 20:09:18,296 DEBUG epoch:47, knn_val_accu: 62.63, contrast_loss: 8.72, contrast_acc: 36.53
2023-08-07 20:10:31,333 DEBUG epoch:48, knn_val_accu: 64.21, contrast_loss: 8.72, contrast_acc: 36.15
2023-08-07 20:10:31,605 DEBUG epoch:48, knn_val_accu: 64.21, contrast_loss: 8.72, contrast_acc: 36.15
2023-08-07 20:10:32,974 DEBUG epoch:48, knn_val_accu: 64.21, contrast_loss: 8.72, contrast_acc: 36.15
2023-08-07 20:11:46,702 DEBUG epoch:49, knn_val_accu: 62.87, contrast_loss: 8.72, contrast_acc: 36.67
2023-08-07 20:11:46,838 DEBUG epoch:49, knn_val_accu: 62.87, contrast_loss: 8.72, contrast_acc: 36.67
2023-08-07 20:11:48,129 DEBUG epoch:49, knn_val_accu: 62.87, contrast_loss: 8.72, contrast_acc: 36.67
2023-08-07 20:13:03,359 DEBUG epoch:50, knn_val_accu: 63.76, contrast_loss: 8.72, contrast_acc: 36.26
2023-08-07 20:13:03,440 DEBUG epoch:50, knn_val_accu: 63.76, contrast_loss: 8.72, contrast_acc: 36.26
2023-08-07 20:13:04,962 DEBUG epoch:50, knn_val_accu: 63.76, contrast_loss: 8.72, contrast_acc: 36.26
2023-08-07 20:14:18,961 DEBUG epoch:51, knn_val_accu: 64.28, contrast_loss: 8.72, contrast_acc: 36.70
2023-08-07 20:14:19,235 DEBUG epoch:51, knn_val_accu: 64.28, contrast_loss: 8.72, contrast_acc: 36.70
2023-08-07 20:14:20,587 DEBUG epoch:51, knn_val_accu: 64.28, contrast_loss: 8.72, contrast_acc: 36.70
2023-08-07 20:15:34,039 DEBUG epoch:52, knn_val_accu: 64.15, contrast_loss: 8.72, contrast_acc: 36.59
2023-08-07 20:15:34,330 DEBUG epoch:52, knn_val_accu: 64.15, contrast_loss: 8.72, contrast_acc: 36.59
2023-08-07 20:15:35,836 DEBUG epoch:52, knn_val_accu: 64.15, contrast_loss: 8.72, contrast_acc: 36.59
2023-08-07 20:16:48,659 DEBUG epoch:53, knn_val_accu: 64.06, contrast_loss: 8.72, contrast_acc: 36.62
2023-08-07 20:16:48,964 DEBUG epoch:53, knn_val_accu: 64.06, contrast_loss: 8.72, contrast_acc: 36.62
2023-08-07 20:16:50,443 DEBUG epoch:53, knn_val_accu: 64.06, contrast_loss: 8.72, contrast_acc: 36.62
2023-08-07 20:18:05,462 DEBUG epoch:54, knn_val_accu: 64.51, contrast_loss: 8.72, contrast_acc: 36.64
2023-08-07 20:18:05,730 DEBUG epoch:54, knn_val_accu: 64.51, contrast_loss: 8.72, contrast_acc: 36.64
2023-08-07 20:18:07,233 DEBUG epoch:54, knn_val_accu: 64.51, contrast_loss: 8.72, contrast_acc: 36.64
2023-08-07 20:19:23,948 DEBUG epoch:55, knn_val_accu: 64.31, contrast_loss: 8.72, contrast_acc: 35.86
